country,gdp
World,110047.109
United States,29167.779
China,18273.357
Germany,4710.032
Japan,4070.094
India,3889.13
United Kingdom,3587.545
France,3174.099
Italy,2376.51
Canada,2214.796
Brazil,2188.419
Russia,2184.316
South Korea,1869.916
Mexico,1848.125
Australia,1802.006
Spain,1731.469
Indonesia,1402.59
Turkey,1344.318
Netherlands,1218.401
Saudi Arabia,1100.706
Switzerland,942.265
Poland,862.908
Taiwan,775.017
Belgium,662.183
Sweden,609.039
Argentina,604.382
Ireland,560.566
United Arab Emirates,545.053
Austria,535.804
Singapore,530.708
Thailand,528.919
Israel,528.067
Norway,503.752
Philippines,470.062
Vietnam,468.485
Bangladesh,451.468
Malaysia,439.748
Iran,434.243
Colombia,417.207
Denmark,412.293
South Africa,403.045
Hong Kong,401.751
Romania,380.561
Egypt,380.044
Pakistan,374.595
Czech Republic,342.992
Chile,328.72
Finland,306.083
Portugal,303.032
Kazakhstan,292.553
Peru,283.309
Iraq,264.149
Algeria,260.134
Greece,252.732
New Zealand,252.236
Hungary,228.806
Qatar,221.406
Nigeria,199.721
Ukraine,184.099
Kuwait,161.822
Morocco,157.087
Ethiopia,145.031
Slovakia,142.617
Dominican Republic,126.238
Ecuador,121.425
Puerto Rico,120.971
Kenya,116.321
Angola,113.286
Uzbekistan,112.653
Guatemala,112.369
Oman,109.993
Bulgaria,108.425
Venezuela,106.327
Costa Rica,95.149
Luxembourg,91.21
Croatia,89.665
Panama,87.347
Ivory Coast,86.993
Sri Lanka,74.846
Turkmenistan,83.883
Lithuania,82.789
Uruguay,82.605
Serbia,82.55
Tanzania,79.867
Azerbaijan,75.649
Ghana,75.307
Slovenia,73.198
Belarus,73.129
DR Congo,72.483
Myanmar,64.284
Uganda,55.587
Macau,53.447
Cameroon,53.391
Jordan,53.305
Tunisia,52.636
Bolivia,48.172
Bahrain,47.812
Cambodia,47.147
Latvia,45.521
Paraguay,44.937
Libya,44.812
Nepal,43.673
Estonia,43.044
Honduras,36.735
Zimbabwe,35.919
El Salvador,35.848
Cyprus,34.79
Senegal,33.685
Georgia,33.191
Iceland,32.919
Papua New Guinea,31.716
Zambia,29.872
Bosnia and Herzegovina,29.078
Trinidad and Tobago,28.365
Sudan,26.865
Guinea,25.447
Albania,25.431
Armenia,25.408
Haiti,24.046
Mozambique,22.975
Malta,22.737
Mongolia,21.943
Burkina Faso,21.902
Mali,21.662
Botswana,21.418
Benin,21.371
Guyana,21.178
Gabon,21.013
Jamaica,20.098
Nicaragua,18.829
Niger,18.816
Chad,18.697
Palestine,18.602
Moldova,18.356
Lebanon,21.78
Yemen,16.94
Madagascar,16.465
Mauritius,16.359
North Macedonia,15.873
Kyrgyzstan,15.77
Brunei,15.51
Congo,15.501
Laos,15.19
Afghanistan,14.467
Bahamas,14.39
Rwanda,13.701
Tajikistan,13.0
Somalia,12.804
Namibia,12.765
Kosovo,11.318
Malawi,11.241
Equatorial Guinea,10.708
Mauritania,10.628
Togo,9.832
Montenegro,8.01
Maldives,7.199
Barbados,6.863
South Sudan,6.517
Fiji,5.801
Eswatini,5.085
Liberia,4.754
Sierra Leone,4.558
Djibouti,4.364
Suriname,4.337
Aruba,4.069
Andorra,3.897
Belize,3.296
Bhutan,3.11
Burundi,3.075
Central African Republic,2.81
Cape Verde,2.718
Gambia,2.694
Saint Lucia,2.582
Lesotho,2.395
Seychelles,2.203
Guinea-Bissau,2.151
Antigua and Barbuda,2.127
San Marino,2.033
East Timor,1.992
Solomon Islands,1.707
Comoros,1.422
Grenada,1.406
Vanuatu,1.289
Saint Kitts and Nevis,1.134
Saint Vincent and the Grenadines,1.128
Samoa,1.024
São Tomé and Príncipe,0.751
Dominica,0.708
Tonga,0.581
Micronesia,0.484
Kiribati,0.311
Palau,0.308
Marshall Islands,0.305
Nauru,0.161
Tuvalu,0.066
