country,population,area,gdp,military_spending,hdi,density,gdp_per_capita,gdp_share
China,1409670000,9596960.0,18273.36,296.0,0.788,146.89,12962.86,19.59
India,1404910000,3287263.0,3889.13,83.6,0.644,427.38,2768.24,4.17
United States,340110988,,29167.78,916.0,,,85759.59,31.27
Indonesia,282477584,1904569.0,1402.59,9.5,0.713,148.32,4965.31,1.5
Pakistan,241499431,882363.0,374.6,8.5,0.54,273.7,1551.12,0.40165
Nigeria,223800000,923768.0,199.72,,,242.27,892.41,0.21415
Brazil,203080756,8510346.0,2188.42,22.9,,23.86,10776.1,2.35
Bangladesh,169828911,148460.0,451.47,,0.67,1143.94,2658.37,0.48408
Russia,146150789,17098246.0,2184.32,130.0,0.821,8.55,14945.63,2.34
Mexico,130154247,1964375.0,1848.12,11.8,0.781,66.26,14199.5,1.98
Japan,123740000,377915.0,4070.09,50.2,0.92,327.43,32892.31,4.36
Philippines,114163719,300000.0,470.06,,0.71,380.55,4117.44,0.50401
Ethiopia,109499000,1104300.0,145.03,,0.492,99.16,1324.5,0.15551
Egypt,105914499,1001450.0,380.04,,0.728,105.76,3588.22,0.40749
Democratic Republic of the Congo,105247000,2344858.0,,,,44.88,,
Vietnam,100309210,331340.0,468.49,,0.726,302.74,4670.41,0.50232
Iran,85961000,1648195.0,434.24,10.3,0.78,52.15,5051.63,0.46561
Turkey,85372377,783562.0,1344.32,15.8,0.855,108.95,15746.52,1.44
Germany,84708010,357581.0,4710.03,66.8,,236.89,55603.15,5.05
France,68551000,551500.0,3174.1,61.3,0.91,124.3,46302.74,3.4
United Kingdom,68265209,244376.0,3587.55,74.9,0.94,279.34,52553.05,3.85
Thailand,65969270,513120.0,528.92,5.8,0.803,128.56,8017.66,0.56712
South Africa,63015904,1219090.0,403.05,,0.717,51.69,6395.93,0.43216
Tanzania,61741120,947303.0,79.87,,0.532,65.18,1293.58,0.08564
Italy,58968499,302068.0,2376.51,35.5,0.906,195.22,40301.35,2.55
Myanmar,56712559,676578.0,64.28,,0.608,83.82,1133.51,0.06893
Colombia,52695952,1138910.0,417.21,10.7,0.758,46.27,7917.25,0.44734
Kenya,52428290,580367.0,116.32,,,90.34,2218.67,0.12472
South Korea,51248233,100432.0,1869.92,47.9,0.929,510.28,36487.42,2.0
Sudan,50448963,1861484.0,26.86,,0.516,27.1,532.52,0.02881
Spain,48946035,505370.0,1731.47,23.7,0.911,96.85,35375.06,1.86
Argentina,47067441,2780400.0,604.38,,0.849,16.93,12840.77,0.64803
Algeria,46700000,2381741.0,260.13,18.3,0.745,19.61,5570.32,0.27892
Uganda,45935046,241550.0,55.59,,0.55,190.17,1210.12,0.0596
Iraq,44414800,438317.0,264.15,,0.673,101.33,5947.32,0.28323
Canada,41465298,9984670.0,2214.8,27.2,0.935,4.15,53413.24,2.37
Poland,37532000,312685.0,862.91,31.6,0.881,120.03,22991.26,0.92523
Uzbekistan,37355356,447400.0,112.65,,0.727,83.49,3015.71,0.12079
Morocco,36828330,446550.0,157.09,,0.698,82.47,4265.38,0.16843
Angola,35121734,1246700.0,113.29,,0.591,28.17,3225.52,0.12147
Afghanistan,34262840,652864.0,14.47,,0.462,52.48,422.24,0.01551
Malaysia,34112400,330621.0,439.75,,0.807,103.18,12891.15,0.47151
Peru,34038457,1285216.0,283.31,,,26.48,8323.2,0.30377
Ukraine,33443000,603550.0,184.1,64.8,0.734,55.41,5504.86,0.1974
Mozambique,33244414,799380.0,22.98,,0.461,41.59,691.09,0.02463
Ghana,33007618,238537.0,75.31,,0.602,138.38,2281.5,0.08075
Yemen,32305264,455503.0,16.94,,0.424,70.92,524.37,0.01816
Saudi Arabia,32175224,2149690.0,1100.71,75.8,,14.97,34209.74,1.18
Madagascar,30811969,587041.0,16.46,,,52.49,534.37,0.01765
Ivory Coast,29389150,322462.0,86.99,,0.534,91.14,2960.04,0.09328
